Thai,English,Romanization,ipa,Exemple sentence
ที่,at,thi,tʰîː,เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
ได้,can,dai,dâj,นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว
จะ,will,cha,tɕàʔ,การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน
นี้,this,ni,níː,ศาลมีคำพิพากษาถึงที่สุดว่าการสมรสของบุคคลคู่นี้ เป็นโมฆะแล้ว
ว่า,that; think,wa,wâː,”ภาษา” เป็นคำที่มาจากรากศัพท์ “ภาษ” แปลว่าพูด
เป็น,is; be able,pen,pen,แมวที่อาจารย์เลี้ยงไว้มีอยู่หลายตัวเป็นแมวจรจัด
มี,have; there is,mi,miː,อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่
ให้,for,hai,hâj,ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา
ต้อง,must,tong,tɔ̂ŋ,มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น
ของ,of,khong,kʰɔ̌ːŋ,ชมรมค่ายอาสาพัฒนาขอบริจาคของที่เหลือใช้จากประชาชนทั่วไป
กับ,with,kap,kàp,เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ